user_id,session_id,timestamp,step,item_recommendations,item_probs
AYOF9JXVS3ZO,69bcfa29cfb57,1541555411,25,2637332 5818994 2431318 551971 1889263 576621 2518972 321536 321571 8447654 1889471 490421 1886843 1945953 490416 2247108 1830415 1003193 6427602 8992990 1830551 1485207 5764986,0.27094299608389316 0.13547149804194658 0.09031433202796438 0.06773574902097329 0.054188599216778634 0.04515716601398219 0.03870614229769902 0.033867874510486645 0.030104777342654793 0.027094299608389317 0.024631181462172105 0.022578583006991094 0.02084176892953024 0.01935307114884951 0.018062866405592876 0.016933937255243323 0.015937823299052536 0.015052388671327396 0.014260157688625954 0.013547149804194658 0.012902047432566338 0.012315590731086052
FCU6PLYF8GHR,df1d31900de66,1541553756,30,1720861 350196 1226820 1327558 8296686 4645258 3793104 5709350 320756 3385296 5077878 4691316 9420480 1933107 9473454 5801452 5413246 7211186 8234820 8345838 2039291 1054154 4073406 3785200 9032032,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
MJWVJ9T3SHSZ,88553e73e76db,1541557184,41,5660470 4413190 1353108 29884 3174084 970543 2397102 2729984 2806878 5852394 4143720 1950525 664126 2732646 2519684 7815300 3244667 2851849 2422201 6640546 7827704 8742744 10693288 9037348 8785728,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
N0A0E26TMXXW,0962e0237828f,1541550264,5,34378 1835029 9787338 34402 42946 7898236 10209904 10272370 42847 10211556 10240840 10421456 10437620 3813180 4826670 10215964 2644426 42743 982219 10257612 10414952 348631 10018224 10728564 2033359,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
YQ9JQKE7M2J5,5f72dd88f8760,1541554584,6,165162 318416 318761 316596 1001085 398091 165019 318431 216441 368821 1392894 367061 140753,0.32224689320049754 0.16112344660024877 0.10741563106683251 0.08056172330012439 0.06444937864009952 0.053707815533416255 0.046035270457213937 0.04028086165006219 0.035805210355610836 0.03222468932004976 0.029295172109136142 0.026853907766708127
8636F2QCH9M7,cb6788c8bb39c,1541553358,24,2221720 2674880 6523292 1115027 2037215 2257924 5408190 6324284 779511 2353784 2680648 2354690 967629 2817430 4406958 10150072 4780914 6865368 8963206 9225614 6134602 6217470 6698180 2685338,0.26778841368732803 0.13389420684366402 0.08926280456244266 0.06694710342183201 0.053557682737465605 0.04463140228122133 0.03825548766961828 0.033473551710916004 0.02975426818748089 0.026778841368732802 0.02434440124430255 0.022315701140610666 0.02059910874517908 0.01912774383480914 0.017852560912488533 0.016736775855458002 0.015752259628666353 0.014877134093740444 0.014094127036175158 0.013389420684366401 0.012751829223206095 0.012172200622151274 0.011642974508144695
8JXNRJ7Z3I9S,d82bc959b7158,1541552647,6,6537942 389016 6732988 3499862 7232880 3868804 3832022 6794714 1542189 5124040 4877474 6724540 8930910 7915908 4937266 10250670 10404472 8501696 8893974 4849466 5133916 10408876 5862418 6919120 5118228,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
FAQ6R1QQE02R,d397a5126e033,1541551966,3,70651 70680 1023005 71525 881837 76851 63991 65380 1336622 59438 1180600 70676 57985 1347332 5477834 9106448 7872256,0.2957941917269395 0.14789709586346975 0.09859806390897982 0.07394854793173487 0.0591588383453879 0.04929903195448991 0.042256313103848496 0.03697427396586744 0.03286602130299327 0.02957941917269395 0.026890381066085406 0.024649515977244955 0.02275339936361073 0.021128156551924248 0.019719612781795966 0.01848713698293372
FYCUEJITUF5J,000d6d5317c35,1541553547,43,3167634 4625754 3221658 2499566 9352004 5118144 2768282 7803088 4022968 2879383 363511 2858051 1332551 1754087 3822282 2651010 7844208 7215300 9587862 104604 2499506 10644408 3154574 1890749 2197380,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
JU0F6Y98686R,de92503f62da2,1541560252,11,104538 104574 104604 104608 104671 104771 104864 104986 363511 478946 479201 745046 1043698 1052528 1057816 1120389 1156189 1172337 1267405 1323175 1332551 1337792 1475973 1500317 1525911,0.26483344171861206 0.13241672085930603 0.08827781390620401 0.06620836042965302 0.05296668834372241 0.044138906953102006 0.03783334881694458 0.03310418021482651 0.02942593796873467 0.026483344171861205 0.024075767428964733 0.022069453476551003 0.020371803209124004 0.01891667440847229 0.017655562781240804 0.016552090107413254 0.015578437748153649 0.014712968984367336 0.013938602195716424 0.013241672085930602 0.012611116272314859 0.012037883714482367 0.01151449746602661 0.011034726738275501
